mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__gamma,param_clf__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
9931.501235771178,3973.8191457069483,3.2494455337524415,0.8085947888500524,0.03073746227660439,auto,rbf,"{'clf__C': 0.03073746227660439, 'clf__gamma': 'auto', 'clf__kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
134.92639684677124,42.95574061313979,0.9591751575469971,0.07453926571698954,0.17166820489841764,scale,rbf,"{'clf__C': 0.17166820489841764, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
83.16784844398498,34.474921696538416,0.5925158977508544,0.03567471677778431,0.4541850306691958,scale,rbf,"{'clf__C': 0.4541850306691958, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
57.62344026565552,38.76981902602688,0.4534654140472412,0.054832313154614995,22.902632607117038,auto,rbf,"{'clf__C': 22.902632607117038, 'clf__gamma': 'auto', 'clf__kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
30.74991421699524,1.9239449772260813,0.406299352645874,0.02409213130315196,819.803131143006,scale,linear,"{'clf__C': 819.803131143006, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
29.360048484802245,4.717114588165028,0.45060410499572756,0.027480734139832434,0.12012026461309415,scale,linear,"{'clf__C': 0.12012026461309415, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
30.752131462097168,2.916919079724218,0.4579010963439941,0.04634870141078928,5.343179817783898,auto,linear,"{'clf__C': 5.343179817783898, 'clf__gamma': 'auto', 'clf__kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
34.499416780471805,3.249643358247872,0.5042366981506348,0.07617318837857699,0.037036438301048816,auto,linear,"{'clf__C': 0.037036438301048816, 'clf__gamma': 'auto', 'clf__kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1749.5279168605805,1802.9086491049877,3.1181506156921386,2.423497454238832,0.05761586840657627,auto,rbf,"{'clf__C': 0.05761586840657627, 'clf__gamma': 'auto', 'clf__kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
30.595535039901733,2.8084958880558117,0.4180324077606201,0.01901645980743719,0.8610608474102575,auto,linear,"{'clf__C': 0.8610608474102575, 'clf__gamma': 'auto', 'clf__kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
29.641052436828613,3.0641162115546834,0.4349109649658203,0.037948462955575676,0.7322102127243585,auto,linear,"{'clf__C': 0.7322102127243585, 'clf__gamma': 'auto', 'clf__kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
53.50652837753296,32.28359906576935,0.42081460952758787,0.0204753360742091,77.05300678179736,scale,rbf,"{'clf__C': 77.05300678179736, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
56.68723516464233,37.60147145749346,0.42015690803527833,0.032237186679103275,11.916814606057182,auto,rbf,"{'clf__C': 11.916814606057182, 'clf__gamma': 'auto', 'clf__kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
121.0763692855835,34.28513911229137,0.8875012874603272,0.043498359852726015,0.2199973936329856,auto,rbf,"{'clf__C': 0.2199973936329856, 'clf__gamma': 'auto', 'clf__kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
28.498832750320435,1.1805739272975087,0.4404120922088623,0.03758589350684017,0.2717392967304598,auto,linear,"{'clf__C': 0.2717392967304598, 'clf__gamma': 'auto', 'clf__kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
39.42951250076294,2.9676126044641915,0.5027620315551757,0.02772391852138423,0.021083071293937706,auto,linear,"{'clf__C': 0.021083071293937706, 'clf__gamma': 'auto', 'clf__kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
29.196544885635376,2.220492243586177,0.39157805442810056,0.008830299214572184,5.765529085137647,scale,linear,"{'clf__C': 5.765529085137647, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
63.16615815162659,28.512139010445534,0.49802546501159667,0.05480455068693827,0.5403101784841241,scale,rbf,"{'clf__C': 0.5403101784841241, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
28.980202007293702,1.944177643428431,0.42050933837890625,0.01654674968114302,5.124637943260831,scale,linear,"{'clf__C': 5.124637943260831, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
28.27694230079651,2.5374200905258824,0.368662691116333,0.006337022436383891,134.21098601276105,scale,linear,"{'clf__C': 134.21098601276105, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
