seed;mean_accuracy;std_accuracy;fold_1;fold_2;fold_3;fold_4;fold_5
1000;0.9966712010882611;0.0003454754444254199;0.9967192126110267;0.9967992318156358;0.996959270224854;0.9968792510202449;0.9959990397695447
2000;0.9965751780427302;0.0005070970478596449;0.9968792510202449;0.9959190205649355;0.9960790589741538;0.9967192126110267;0.9972793470432904
3000;0.9966231895654957;0.00037668567803282767;0.9967992318156358;0.9966391934064175;0.9967192126110267;0.9970392894294631;0.9959190205649355
4000;0.9967352164519484;0.0002285805690499586;0.9963991357925902;0.9965591742018084;0.9968792510202449;0.9967992318156358;0.9970392894294631
5000;0.9968792510202448;0.00038542352816810666;0.9965591742018084;0.996959270224854;0.9972793470432904;0.9963191165879811;0.9972793470432904
6000;0.9968472433384011;0.0005417719734275682;0.9972793470432904;0.9967192126110267;0.9971993278386813;0.9971993278386813;0.9958390013603264
7000;0.9968152356565575;0.000509616174380761;0.9958390013603264;0.9967992318156358;0.9970392894294631;0.9971993278386813;0.9971993278386813
8000;0.996591181883652;0.0006725422546035376;0.996239097383372;0.9961590781787629;0.9958390013603264;0.9970392894294631;0.9976794430663359
9000;0.996943266383932;0.00023952355840754972;0.9971993278386813;0.9968792510202449;0.9965591742018084;0.9971993278386813;0.9968792510202449
10000;0.9968312394974793;0.0005511458864598439;0.9972793470432904;0.9971993278386813;0.9973593662478994;0.9961590781787629;0.9961590781787629
