seed;mean_accuracy;std_accuracy;fold_1;fold_2;fold_3;fold_4;fold_5
1000;0.9981221813660808;4.6236805349456e-05;0.9981819994487353;0.9980705736084965;0.9981233542696623;0.9980705736084965;0.9981644058950134
2000;0.998115143944592;7.273893739020988e-05;0.9981409478233841;0.9981468123412914;0.9981057607159404;0.997982605839887;0.9981995930024572
3000;0.9981081065231032;0.0001224322581391999;0.9978946380712773;0.9982465091457157;0.9980588445726819;0.998176134930828;0.9981644058950134
4000;0.998117489751755;9.550345354808034e-05;0.9980295219831454;0.9982347801099011;0.9982230510740865;0.9980940316801258;0.9980060639115161
5000;0.9981221813660808;0.0001230934229144998;0.9980529800547746;0.9981292187875695;0.9980471155368673;0.9983579349859545;0.998023657465238
6000;0.9981280458839882;7.685875273622413e-05;0.9982465091457157;0.99804125101896;0.998176134930828;0.9980529800547746;0.9981233542696623
7000;0.9980893400657997;0.0001662215848325346;0.9980764381264038;0.9980705736084965;0.998311018842696;0.9981819994487353;0.9978066703026678
8000;0.9981397749198028;0.0001026139820808612;0.9982816962531595;0.9980471155368673;0.9981468123412914;0.9980060639115161;0.9982171865561792
9000;0.9981397749198028;9.801993896575001e-05;0.9981937284845499;0.9982992898068814;0.9980177929473307;0.9981116252338477;0.9980764381264038
10000;0.9981198355589178;8.430231742789096e-05;0.9980588445726819;0.998023657465238;0.9981233542696623;0.9981233542696623;0.9982699672173448
