seed;mean_accuracy;std_accuracy;fold_1;fold_2;fold_3;fold_4;fold_5
1000;0.998160887184269;4.3031337234073405e-05;0.9981702704129207;0.9981585413771061;0.9982230510740865;0.9980881671622184;0.9981644058950134
2000;0.998160887184269;2.4770213036751978e-05;0.9981350833054768;0.9981409478233841;0.9981644058950134;0.9981585413771061;0.9982054575203645
3000;0.998160887184269;6.123859782759622e-05;0.9980647090905892;0.9981468123412914;0.9981409478233841;0.9982113220382719;0.9982406446278084
4000;0.998160887184269;7.615748848851591e-05;0.9980295219831454;0.9982289155919938;0.9981937284845499;0.9981233542696623;0.9982289155919938
5000;0.998160887184269;0.00012124669167719266;0.9980940316801258;0.9981937284845499;0.9981233542696623;0.9983755285396764;0.9980177929473307
6000;0.9981608871842692;8.037599394316126e-05;0.9982641026994375;0.99804125101896;0.9981819994487353;0.9982171865561792;0.9980998961980331
7000;0.998160887184269;0.00013142802022397986;0.9981526768591988;0.9980998961980331;0.9983989866113057;0.9981526768591988;0.9980001993936088
8000;0.998160887184269;7.377181251612626e-05;0.9982582381815303;0.9980998961980331;0.9981409478233841;0.9980705736084965;0.9982347801099011
9000;0.998160887184269;8.323484461587124e-05;0.9982582381815303;0.9982641026994375;0.9980705736084965;0.998117489751755;0.9980940316801258
10000;0.998160887184269;6.430678542022037e-05;0.9980529800547746;0.9981585413771061;0.9981409478233841;0.9982171865561792;0.9982347801099011
