seed;mean_accuracy;std_accuracy;fold_1;fold_2;fold_3;fold_4;fold_5
1000;0.9967512202928702;0.00043417332051692435;0.9971193086340722;0.9964791549971993;0.9967992318156358;0.9972793470432904;0.9960790589741538
2000;0.9966712010882613;0.0003773650035224926;0.9971993278386813;0.9964791549971993;0.9963991357925902;0.996239097383372;0.9970392894294631
3000;0.9966551972473393;0.00023952355840756306;0.996959270224854;0.9968792510202449;0.9966391934064175;0.9964791549971993;0.9963191165879811
4000;0.9967192126110266;0.00046106618519287963;0.9959190205649355;0.9964791549971993;0.9970392894294631;0.9970392894294631;0.9971193086340722
5000;0.9967992318156359;0.00026779547940596787;0.9963991357925902;0.9968792510202449;0.9971993278386813;0.9966391934064175;0.9968792510202449
6000;0.9967032087701048;0.0005020208735330842;0.9970392894294631;0.9960790589741538;0.9968792510202449;0.9973593662478994;0.9961590781787629
7000;0.9967192126110266;0.0006461272061514251;0.9955189245418901;0.9971993278386813;0.9967992318156358;0.9973593662478994;0.9967192126110267
8000;0.9965271665199648;0.0005050727002659708;0.9966391934064175;0.9961590781787629;0.9957589821557173;0.996959270224854;0.9971193086340722
9000;0.9969752740657757;0.0003011104700684646;0.9970392894294631;0.9966391934064175;0.9967992318156358;0.9975194046571177;0.9968792510202449
10000;0.9967832279747139;0.0006469195144885364;0.9974393854525087;0.9973593662478994;0.9970392894294631;0.9963191165879811;0.9957589821557173
