seed;mean_accuracy;std_accuracy;fold_1;fold_2;fold_3;fold_4;fold_5
1000;0.9574262734584451;0.0032676995142504324;0.9522788203753351;0.9549597855227882;0.9603217158176943;0.9589812332439678;0.9605898123324397
2000;0.9564075067024129;0.0030074645924675772;0.9552278820375335;0.9571045576407506;0.9616621983914209;0.9554959785522789;0.9525469168900804
3000;0.9559249329758714;0.0032817466483859277;0.9533512064343164;0.9568364611260054;0.9544235924932976;0.9619302949061662;0.953083109919571
4000;0.9567828418230564;0.0008875573918094879;0.9568364611260054;0.9554959785522789;0.9571045576407506;0.9581769436997319;0.9563002680965147
5000;0.955710455764075;0.003016056002235958;0.9520107238605898;0.9541554959785523;0.9557640750670241;0.9554959785522789;0.9611260053619303
6000;0.9563538873994638;0.0024418868711497685;0.9589812332439678;0.9522788203753351;0.957372654155496;0.9549597855227882;0.9581769436997319
7000;0.9569436997319034;0.002383497133607798;0.95656836461126;0.9528150134048258;0.9568364611260054;0.9587131367292225;0.9597855227882037
8000;0.9568364611260053;0.0023494801394323634;0.9557640750670241;0.9600536193029491;0.9557640750670241;0.9589812332439678;0.9536193029490616
9000;0.9554423592493297;0.002953445437838171;0.9600536193029491;0.953887399463807;0.9568364611260054;0.9552278820375335;0.9512064343163539
10000;0.955603217158177;0.0018697689838244268;0.9579088471849866;0.9557640750670241;0.9536193029490616;0.957372654155496;0.9533512064343164
