mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
15.611427593231202,0.8759759529304014,0.37809185981750487,0.012555932859671699,10,sqrt,4,6,480,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 6, 'clf__n_estimators': 480}",0.9936784828358806,0.992478194766744,0.9929583099943986,0.993918540449708,0.9935184444266624,0.9933103944946786,0.0005225198917280768,15
15.579579257965088,0.40635516730504123,0.39542036056518554,0.009044199345557837,10,sqrt,7,4,539,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 4, 'clf__n_estimators': 539}",0.9935184444266624,0.9922381371529168,0.9927182523805713,0.9936784828358806,0.9933584060174442,0.993102344562695,0.0005412990165731559,16
23.029524850845338,0.48211313548557255,0.25684103965759275,0.013211377150720325,6,0.5,7,4,514,"{'clf__max_depth': 6, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 4, 'clf__n_estimators': 514}",0.987116908057934,0.9877570616948067,0.9878370808994159,0.9883972153316796,0.9895174841962071,0.9881251500360086,0.0008059328358495045,17
13.332552528381347,0.1936327529562113,0.4078245162963867,0.037154213932490285,,log2,4,11,410,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 11, 'clf__n_estimators': 410}",0.9955989437464992,0.9950388093142354,0.994718732495799,0.9956789629511082,0.9948787709050172,0.9951828438825319,0.0003867502912249146,8
6.698378562927246,0.037434208949772944,0.21235237121582032,0.010398628140293792,24,log2,2,4,203,"{'clf__max_depth': 24, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 4, 'clf__n_estimators': 203}",0.9967992318156358,0.9955989437464992,0.9960790589741538,0.9961590781787629,0.9959190205649355,0.9961110666559975,0.0003939676282337129,3
15.500595998764037,0.14059800036828088,0.4630012035369873,0.028831894557319562,16,log2,1,7,475,"{'clf__max_depth': 16, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 7, 'clf__n_estimators': 475}",0.9965591742018084,0.9957589821557173,0.9959190205649355,0.9963191165879811,0.9959990397695447,0.9961110666559975,0.0002889568710133263,3
11.914197111129761,0.14338387064271876,0.367082405090332,0.026425706339196567,,log2,5,8,370,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 8, 'clf__n_estimators': 370}",0.9957589821557173,0.9945586940865808,0.9945586940865808,0.9953588861326719,0.9946387132911899,0.9949747939505482,0.00049430888089877,10
13.530673742294312,0.15906076077588968,0.3039538860321045,0.02797859243243259,6,sqrt,4,3,579,"{'clf__max_depth': 6, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 3, 'clf__n_estimators': 579}",0.9867968312394975,0.9874369848763703,0.9872769464671521,0.9862366968072337,0.9885572537408979,0.9872609426262302,0.0007715112934748779,19
18.257197427749634,0.21685644101035237,0.5836750507354737,0.07918616048852879,24,log2,4,7,559,"{'clf__max_depth': 24, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 7, 'clf__n_estimators': 559}",0.9961590781787629,0.9950388093142354,0.994718732495799,0.995438905337281,0.9949587901096263,0.995262863087141,0.000504565344336554,7
17.000153923034667,0.3559828032643939,0.5123476028442383,0.060944694428415866,16,log2,4,6,529,"{'clf__max_depth': 16, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 6, 'clf__n_estimators': 529}",0.9959190205649355,0.9945586940865808,0.9947987517004081,0.9955189245418901,0.9948787709050172,0.9951348323597664,0.0005045653443365187,9
